(0, 9.4, c)
(1, 18.8, c)
(2, 28.2, c)
(3, 37.6, c)
(4, 47, c)
(5, 56.4, c)
(6, 65.8, c)
(7, 75.2, c)
(8, 84.6, c)
(9, 94, c)
(10, 103.4, c)
(11, 112.8, c)
(12, 122.2, c)
(13, 131.6, c)
(14, 141, c)
(15, 150.4, c)
(16, 159.8, c)
(17, 169.2, c)
(18, 178.6, c)
(19, 188, c)
(20, 197.4, c)
(21, 206.8, c)
(22, 216.2, c)
(23, 225.6, c)
(0, 235, c)
(1, 244.4, c)
(2, 253.8, c)
(3, 263.2, c)
(4, 272.6, c)
(5, 282, c)
(6, 291.4, c)
(7, 300.8, c)
(8, 310.2, c)
(9, 319.6, c)
(10, 329, c)
(11, 338.4, c)
(12, 347.8, c)
(13, 357.2, c)
(14, 366.6, c)
(15, 376, c)
(16, 385.4, c)
(17, 394.8, c)
(18, 404.2, c)
(19, 413.6, c)
(20, 423, c)
(21, 432.4, c)
(22, 441.8, c)
(23, 451.2, c)
(0, 460.6, c)
(1, 470, c)
